# TQE Heisenberg Fluctuation - WITH-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
7.143812709030100905e+00,7.706636474170168505e+00,2.574171920933361335e+00,2.115485206071103352e+00,8.487475485743686127e-03,2.169393415561172933e+00,1.745702991597858134e+00,1.326618368775722034e+00
7.183946488294314925e+00,7.697842750005421841e+00,2.569450071650908995e+00,2.118916811213838791e+00,8.443996327008772979e-03,2.178244655613517100e+00,1.747850596442135807e+00,1.327317070587491488e+00
7.224080267558528945e+00,7.689506677477700336e+00,2.564920947131376749e+00,2.122328215032645016e+00,8.402253220961698743e-03,2.186993170278921816e+00,1.749802713427666356e+00,1.327818010275499949e+00
7.264214046822742965e+00,7.681661598673647617e+00,2.560587334764440559e+00,2.125733321349350557e+00,8.362794672675193108e-03,2.195547570831815065e+00,1.751492114000100075e+00,1.328128457110875793e+00
7.304347826086956985e+00,7.674335435176527831e+00,2.556448166137877287e+00,2.129124225540900639e+00,8.325795383580742240e-03,2.203818988313095417e+00,1.752861607089416296e+00,1.328258449069356084e+00
7.344481605351171005e+00,7.667550665855361380e+00,2.552499450489800203e+00,2.132499947822218633e+00,8.291545103992322557e-03,2.211725246609142825e+00,1.753867351470216773e+00,1.328220860320505459e+00
7.384615384615385025e+00,7.661324418332908337e+00,2.548735297114857357e+00,2.135857125827465008e+00,8.260544892533833172e-03,2.219194969781189908e+00,1.754480379736055085e+00,1.328031430078436381e+00
7.424749163879599045e+00,7.655668601366196313e+00,2.545148910262122310e+00,2.139201207135323912e+00,8.232329970393610988e-03,2.226171198812225249e+00,1.754686432139221708e+00,1.327708696152149370e+00
7.464882943143813065e+00,7.650590044458592587e+00,2.541733417297429298e+00,2.142528807283949899e+00,8.207162689655411389e-03,2.232614214419884835e+00,1.754484482191313255e+00,1.327273845558460064e+00
7.505016722408027086e+00,7.646090604237734567e+00,2.538482465382366549e+00,2.145844096664422551e+00,8.185143491093338497e-03,2.238503326912973712e+00,1.753884458107897171e+00,1.326750460413625099e+00
