universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
3267,3407262278,72.87631857705136,0.0,72.87631857705136,0,0,-1,-1,,,0,0.0,0.0,0.0,72.87631857705136,4.2887637381886465,4.2887637381886465,0.9893,0.9893,
3268,1060696985,23.35050418952221,0.0,23.35050418952221,1,1,207,601,,,0,0.0,0.0,0.0,23.35050418952221,3.150618576580854,3.150618576580854,0.7967,0.7967,
3269,3599772486,20.563967826810824,0.0,20.563967826810824,1,1,380,705,,,0,0.0,0.0,0.0,20.563967826810824,3.0235404096526364,3.0235404096526364,0.7486,0.7486,
3270,1958757784,6.979659861384772,0.0,6.979659861384772,0,0,-1,-1,,,0,0.0,0.0,0.0,6.979659861384772,1.9430001851264225,1.9430001851264225,0.2435,0.2435,
3271,2317406264,4.568590779763663,0.0,4.568590779763663,1,0,849,-1,,,0,0.0,0.0,0.0,4.568590779763663,1.5192047940623699,1.5192047940623699,0.1111,0.1111,
3272,2413929360,22.912284120743724,0.0,22.912284120743724,1,0,401,-1,,,0,0.0,0.0,0.0,22.912284120743724,3.1316731912226796,3.1316731912226796,0.7893,0.7893,
3273,4224111907,14.001607490636097,0.0,14.001607490636097,1,1,973,991,,,0,0.0,0.0,0.0,14.001607490636097,2.6391721437836524,2.6391721437836524,0.5723,0.5723,
3274,1970773033,13.586646468567567,0.0,13.586646468567567,1,1,356,631,,,0,0.0,0.0,0.0,13.586646468567567,2.609087433073575,2.609087433073575,0.5567,0.5567,
3275,2500182664,13.599347474028923,0.0,13.599347474028923,1,0,315,-1,,,0,0.0,0.0,0.0,13.599347474028923,2.6100218117401957,2.6100218117401957,0.5574,0.5574,
3276,407656178,6.9507541163250375,0.0,6.9507541163250375,0,0,-1,-1,,,0,0.0,0.0,0.0,6.9507541163250375,1.9388501596365488,1.9388501596365488,0.2417,0.2417,
3277,2067534404,28.175047732089226,0.0,28.175047732089226,0,0,-1,-1,,,0,0.0,0.0,0.0,28.175047732089226,3.3384367540536055,3.3384367540536055,0.8572,0.8572,
3278,489642257,3.0758225291553853,0.0,3.0758225291553853,0,0,-1,-1,,,0,0.0,0.0,0.0,3.0758225291553853,1.1235723546461833,1.1235723546461833,0.0429,0.0429,
3279,396213717,22.192849241081884,0.0,22.192849241081884,1,1,265,699,,,0,0.0,0.0,0.0,22.192849241081884,3.0997701307333427,3.0997701307333427,0.7764,0.7764,
3280,4109593235,12.81894711437263,0.0,12.81894711437263,1,0,814,-1,,,0,0.0,0.0,0.0,12.81894711437263,2.550924319755814,2.550924319755814,0.5254,0.5254,
3281,3215614743,8.436369558464483,0.0,8.436369558464483,1,1,436,963,,,0,0.0,0.0,0.0,8.436369558464483,2.132552068966817,2.132552068966817,0.3184,0.3184,
3282,2296422033,7.650157126493796,0.0,7.650157126493796,0,0,-1,-1,,,0,0.0,0.0,0.0,7.650157126493796,2.034726187038598,2.034726187038598,0.2804,0.2804,
3283,2153488146,10.583820974638286,0.0,10.583820974638286,0,0,-1,-1,,,0,0.0,0.0,0.0,10.583820974638286,2.3593265119529785,2.3593265119529785,0.4275,0.4275,
3284,1297486351,12.640713626808212,0.0,12.640713626808212,0,0,-1,-1,,,0,0.0,0.0,0.0,12.640713626808212,2.536922844942213,2.536922844942213,0.5175,0.5175,
3285,2255090458,32.737761945923644,0.0,32.737761945923644,1,0,956,-1,,,0,0.0,0.0,0.0,32.737761945923644,3.488529211204634,3.488529211204634,0.8948,0.8948,
3286,960165772,31.955268040423064,0.0,31.955268040423064,1,1,579,804,,,0,0.0,0.0,0.0,31.955268040423064,3.464337051126025,3.464337051126025,0.8881,0.8881,
3287,3590771739,26.407302686116036,0.0,26.407302686116036,0,0,-1,-1,,,0,0.0,0.0,0.0,26.407302686116036,3.2736405887992426,3.2736405887992426,0.8372,0.8372,
3288,3134874872,11.574173296591265,0.0,11.574173296591265,1,1,773,982,,,0,0.0,0.0,0.0,11.574173296591265,2.4487761759609525,2.4487761759609525,0.4709,0.4709,
3289,3239022385,8.90341685073835,0.0,8.90341685073835,1,0,905,-1,,,0,0.0,0.0,0.0,8.90341685073835,2.186435118874685,2.186435118874685,0.343,0.343,
3290,35962632,23.60143962326904,0.0,23.60143962326904,1,1,376,794,,,0,0.0,0.0,0.0,23.60143962326904,3.1613077111570984,3.1613077111570984,0.7998,0.7998,
3291,677510246,5.55094956617106,0.0,5.55094956617106,0,0,-1,-1,,,0,0.0,0.0,0.0,5.55094956617106,1.7139690061275792,1.7139690061275792,0.1627,0.1627,
3292,747517460,7.761665755112302,0.0,7.761665755112302,0,0,-1,-1,,,0,0.0,0.0,0.0,7.761665755112302,2.049196970323231,2.049196970323231,0.286,0.286,
3293,2500522094,3.074044077776136,0.0,3.074044077776136,0,0,-1,-1,,,0,0.0,0.0,0.0,3.074044077776136,1.1229939839131269,1.1229939839131269,0.0428,0.0428,
3294,3318704196,11.025279396728559,0.0,11.025279396728559,1,0,718,-1,,,0,0.0,0.0,0.0,11.025279396728559,2.4001907631187933,2.4001907631187933,0.4469,0.4469,
3295,1238112978,1.2897651771179937,0.0,1.2897651771179937,1,0,702,-1,,,0,0.0,0.0,0.0,1.2897651771179937,0.2544601685624293,0.2544601685624293,0.0018,0.0018,
3296,109833816,26.555891196764676,0.0,26.555891196764676,1,1,310,665,,,0,0.0,0.0,0.0,26.555891196764676,3.2792516137241665,3.2792516137241665,0.8385,0.8385,
3297,2154295257,16.662607512996544,0.0,16.662607512996544,0,0,-1,-1,,,0,0.0,0.0,0.0,16.662607512996544,2.8131671378769614,2.8131671378769614,0.6578,0.6578,
3298,2415577289,4.6495936649115475,0.0,4.6495936649115475,1,1,546,837,,,0,0.0,0.0,0.0,4.6495936649115475,1.5367798318912957,1.5367798318912957,0.1155,0.1155,
3299,2138810420,23.05485451131367,0.0,23.05485451131367,1,1,433,667,,,0,0.0,0.0,0.0,23.05485451131367,3.1378763551340803,3.1378763551340803,0.7917,0.7917,
3300,3468077034,13.759017821720384,0.0,13.759017821720384,1,0,318,-1,,,0,0.0,0.0,0.0,13.759017821720384,2.6216944507222144,2.6216944507222144,0.5635,0.5635,
3301,1753775040,18.39548988701152,0.0,18.39548988701152,1,1,441,502,,,0,0.0,0.0,0.0,18.39548988701152,2.9121055197331125,2.9121055197331125,0.701,0.701,
3302,303981218,22.191333424024716,0.0,22.191333424024716,0,0,-1,-1,,,0,0.0,0.0,0.0,22.191333424024716,3.0997018263525145,3.0997018263525145,0.7763,0.7763,
3303,2112092468,10.528578907461414,0.0,10.528578907461414,1,0,961,-1,,,0,0.0,0.0,0.0,10.528578907461414,2.354093360482153,2.354093360482153,0.4246,0.4246,
3304,4282271978,5.572136178953539,0.0,5.572136178953539,0,0,-1,-1,,,0,0.0,0.0,0.0,5.572136178953539,1.717778495488713,1.717778495488713,0.1642,0.1642,
3305,3818696537,59.15368613878887,0.0,59.15368613878887,1,0,361,-1,,,0,0.0,0.0,0.0,59.15368613878887,4.080138906974478,4.080138906974478,0.9763,0.9763,
3306,4283858188,32.11131417492855,0.0,32.11131417492855,1,1,351,676,,,0,0.0,0.0,0.0,32.11131417492855,3.469208434542951,3.469208434542951,0.8893,0.8893,
3307,176186797,50.78321595764807,0.0,50.78321595764807,1,1,200,353,,,0,0.0,0.0,0.0,50.78321595764807,3.9275659054576697,3.9275659054576697,0.9646,0.9646,
3308,176887020,8.491303654745122,0.0,8.491303654745122,1,0,464,-1,,,0,0.0,0.0,0.0,8.491303654745122,2.1390425403311597,2.1390425403311597,0.3212,0.3212,
